	region
9330x15008	1.0
9018x15188	1.0
9330x15367	1.0
9018x15547	1.0
9331x15726	0.0
9018x15905	1.0
9331x16085	1.0
9019x16264	1.0
9331x16444	1.0
9019x16623	1.0
9331x16802	1.0
9019x16982	1.0
9331x17161	1.0
9019x17341	1.0
9331x17520	0.0
9019x17700	0.0
9332x17879	0.0
9019x18059	0.0
9332x18238	0.0
9020x18417	0.0
9332x18597	0.0
9020x18776	0.0
9332x18956	0.0
9020x19135	0.0
9332x19314	0.0
9020x19494	0.0
9332x19673	0.0
9020x19853	0.0
9333x20032	0.0
9020x20212	0.0
9333x20391	0.0
9021x20571	0.0
9333x20750	0.0
9021x20929	0.0
9333x21109	0.0
9021x21288	0.0
9333x21468	0.0
9021x21647	0.0
9333x21826	0.0
9021x22006	0.0
9334x22185	0.0
9022x22365	0.0
9334x22544	0.0
9022x22724	0.0
9334x22903	0.0
9022x23083	0.0
9334x23262	0.0
9022x23441	0.0
9334x23621	0.0
9022x23800	0.0
9334x23980	0.0
9022x24159	0.0
9335x24338	0.0
9023x24518	0.0
9335x24697	0.0
9023x24877	0.0
9335x25056	0.0
9023x25236	0.0
9335x25415	0.0
9952x8907	1.0
9640x9087	1.0
9952x9266	1.0
9640x9446	1.0
9952x9625	1.0
9640x9805	1.0
9952x9984	1.0
9640x10163	1.0
9952x10343	1.0
9640x10522	1.0
9953x10702	1.0
9641x10881	1.0
9953x11060	1.0
9641x11240	1.0
9953x11419	1.0
9641x11599	1.0
9953x11778	1.0
9641x11958	1.0
9953x12137	1.0
9641x12317	1.0
9953x12496	1.0
9641x12675	1.0
9954x12855	1.0
9642x13034	1.0
9954x13214	1.0
9642x13393	1.0
9954x13572	1.0
9642x13752	1.0
9954x13931	1.0
9642x14111	1.0
9954x14290	1.0
9642x14470	1.0
9954x14649	1.0
9642x14829	1.0
9955x15008	0.0
9643x15187	0.0
9955x15367	0.0
9643x15546	0.0
9955x15726	0.0
9643x15905	0.0
