	region
8274x14756	1.0
8274x15120	1.0
8274x15484	1.0
8274x15849	1.0
8274x16213	1.0
8274x16578	1.0
8274x16942	1.0
7957x17124	1.0
8274x17307	1.0
7957x17489	1.0
8274x17671	1.0
7957x17853	1.0
8274x18036	1.0
7957x18218	1.0
8274x18400	1.0
8907x11840	1.0
8907x12204	1.0
8907x12569	1.0
8908x12933	1.0
8591x13115	1.0
8908x13298	1.0
8591x13480	1.0
8908x13662	1.0
8591x13844	1.0
8908x14027	1.0
8591x14209	1.0
8908x14391	1.0
8591x14573	1.0
8908x14755	1.0
8591x14938	1.0
8908x15120	1.0
8591x15302	1.0
8908x15484	1.0
8591x15667	1.0
8908x15849	1.0
8591x16031	1.0
8908x16213	1.0
8591x16395	1.0
8908x16578	1.0
8591x16760	1.0
8908x16942	1.0
8591x17124	1.0
8908x17307	1.0
8591x17489	1.0
8908x17671	1.0
8591x17853	1.0
8908x18035	1.0
8591x18218	1.0
8909x18400	1.0
8592x18582	1.0
8909x18764	1.0
8592x18947	1.0
8909x19129	1.0
8909x19493	1.0
8909x19858	1.0
8909x20222	1.0
8909x20587	1.0
8909x20951	1.0
8909x21315	1.0
8909x21680	1.0
8592x21862	1.0
8909x22044	1.0
8909x22409	1.0
8910x24596	0.0
8910x24960	0.0
8910x25324	0.0
8910x25689	0.0
8910x26053	0.0
8910x26418	0.0
9541x10746	1.0
9541x11111	1.0
9224x11293	1.0
9541x11475	1.0
9224x11658	1.0
9541x11840	1.0
9224x12022	1.0
9542x12204	1.0
9225x12386	1.0
9542x12569	1.0
9225x12751	1.0
9542x12933	1.0
9225x13115	1.0
9542x13297	1.0
9225x13480	1.0
9542x13662	1.0
9225x13844	1.0
9542x14026	1.0
9225x14209	1.0
9542x14391	1.0
9225x14573	1.0
9542x14755	1.0
9225x14938	1.0
9542x15120	1.0
9225x15302	1.0
9542x15484	1.0
9225x15666	1.0
9542x15849	1.0
9225x16031	1.0
9542x16213	1.0
9225x16395	1.0
9542x16578	1.0
9225x16760	1.0
9542x16942	1.0
9225x17124	1.0
9542x17306	1.0
9225x17489	1.0
9543x17671	1.0
9226x17853	1.0
9543x18035	1.0
9226x18218	1.0
9543x18400	1.0
9226x18582	1.0
9543x18764	1.0
9226x18947	1.0
9543x19129	1.0
9226x19311	1.0
9543x19493	1.0
9226x19675	1.0
9543x19858	1.0
9226x20040	1.0
9543x20222	1.0
9226x20404	1.0
9543x20586	1.0
9226x20769	1.0
9543x20951	1.0
9226x21133	1.0
9543x21315	1.0
9226x21498	1.0
9543x21680	1.0
9226x21862	1.0
9543x22044	1.0
9226x22227	1.0
9543x22409	1.0
9226x22591	1.0
9543x22773	1.0
9544x23867	0.0
9227x24049	0.0
9544x24231	0.0
9227x24413	0.0
9544x24595	0.0
9227x24778	0.0
9544x24960	0.0
9227x25142	0.0
9544x25324	0.0
9227x25507	0.0
9544x25689	0.0
9227x25871	0.0
9544x26053	0.0
9227x26235	0.0
9544x26418	0.0
9227x26600	0.0
9544x26782	0.0
9227x26964	0.0
9544x27147	0.0
9544x27511	0.0
9544x27875	0.0
10175x9288	1.0
10175x9653	1.0
9858x9835	1.0
10175x10017	1.0
9858x10200	1.0
10175x10382	1.0
9858x10564	1.0
10175x10746	1.0
9858x10929	1.0
10176x11111	1.0
9858x11293	1.0
10176x11475	1.0
9859x11657	1.0
10176x11840	1.0
9859x12022	1.0
10176x12204	1.0
9859x12386	1.0
10176x12568	1.0
9859x12751	1.0
10176x12933	1.0
9859x13115	1.0
10176x13297	1.0
9859x13480	1.0
10176x13662	1.0
9859x13844	1.0
10176x14026	1.0
9859x14209	1.0
10176x14391	1.0
9859x14573	1.0
10176x14755	1.0
9859x14937	1.0
10176x15120	1.0
9859x15302	1.0
10176x15484	1.0
9859x15666	1.0
10176x15849	1.0
9859x16031	1.0
10176x16213	1.0
9859x16395	1.0
10176x16577	1.0
9859x16760	1.0
10177x16942	1.0
9860x17124	1.0
10177x17306	1.0
9860x17489	1.0
10177x17671	1.0
9860x17853	1.0
10177x18035	1.0
9860x18217	1.0
10177x18400	1.0
9860x18582	1.0
10177x18764	1.0
9860x18946	1.0
10177x19129	1.0
9860x19311	1.0
10177x19493	1.0
9860x19675	1.0
10177x19857	1.0
9860x20040	1.0
10177x20222	1.0
9860x20404	1.0
10177x20586	1.0
9860x20769	1.0
10177x20951	1.0
9860x21133	1.0
10177x21315	1.0
9860x21498	1.0
10177x21680	1.0
9860x21862	1.0
10177x22044	1.0
9860x22226	1.0
10178x22409	1.0
9861x22591	1.0
10178x22773	1.0
9861x22955	1.0
9861x23320	0.0
10178x23502	0.0
9861x23684	0.0
10178x23866	0.0
9861x24049	0.0
10178x24231	0.0
9861x24413	0.0
10178x24595	0.0
9861x24778	0.0
10178x24960	0.0
9861x25142	0.0
10178x25324	0.0
9861x25506	0.0
10178x25689	0.0
9861x25871	0.0
10178x26053	0.0
9861x26235	0.0
10178x26418	0.0
9861x26600	0.0
10178x26782	0.0
9861x26964	0.0
10178x27146	0.0
9861x27329	0.0
10178x27511	0.0
9861x27693	0.0
10179x27875	0.0
10809x8559	1.0
10492x8742	1.0
10809x8924	1.0
10492x9106	1.0
10809x9288	1.0
10492x9471	1.0
10809x9653	1.0
10492x9835	1.0
10809x10017	1.0
10492x10200	1.0
10810x10382	1.0
10492x10564	1.0
10810x10746	1.0
10493x10928	1.0
10810x11111	1.0
10493x11293	1.0
10810x11475	1.0
10493x11657	1.0
10810x11839	1.0
10493x12022	1.0
10810x12204	1.0
10493x12386	1.0
10810x12568	1.0
10493x12751	1.0
10810x12933	1.0
10493x13115	1.0
10810x13297	1.0
10493x13480	1.0
10810x13662	1.0
10493x13844	1.0
10810x14026	1.0
10493x14208	1.0
10810x14391	1.0
10493x14573	1.0
10810x14755	1.0
10493x14937	1.0
10810x15120	1.0
10493x15302	1.0
10810x15484	1.0
10493x15666	1.0
10811x15848	1.0
10493x16031	1.0
10811x16213	1.0
10494x16395	1.0
10811x16577	1.0
10494x16760	1.0
10811x16942	1.0
10494x17124	1.0
10811x17306	1.0
10494x17488	1.0
10811x17671	1.0
10494x17853	1.0
10811x18035	1.0
10494x18217	1.0
10811x18400	1.0
10494x18582	1.0
10811x18764	1.0
10494x18946	1.0
10811x19128	1.0
10494x19311	1.0
10811x19493	1.0
10494x19675	1.0
10811x19857	1.0
10494x20040	1.0
10811x20222	1.0
10494x20404	1.0
10811x20586	1.0
10494x20769	1.0
10811x20951	1.0
10494x21133	1.0
10812x21315	1.0
10494x21497	1.0
10812x21680	1.0
10495x21862	1.0
10812x22044	1.0
10495x22226	1.0
10812x22408	1.0
10495x22591	1.0
10812x22773	1.0
10495x22955	1.0
10812x23137	0.0
10495x23320	0.0
10812x23502	0.0
10495x23684	0.0
10812x23866	0.0
10495x24049	0.0
10812x24231	0.0
10495x24413	0.0
10812x24595	0.0
10495x24777	0.0
10812x24960	0.0
10495x25142	0.0
10812x25324	0.0
10495x25506	0.0
10812x25689	0.0
10495x25871	0.0
10812x26053	0.0
10495x26235	0.0
10812x26417	0.0
10495x26600	0.0
10812x26782	0.0
10495x26964	0.0
10813x27146	0.0
10496x27329	0.0
10813x27511	0.0
10496x27693	0.0
10813x27875	0.0
11443x7830	1.0
11126x8013	1.0
11443x8195	1.0
11126x8377	1.0
11443x8559	1.0
11126x8742	1.0
11443x8924	1.0
11126x9106	1.0
11443x9288	1.0
11126x9471	1.0
11444x9653	1.0
11126x9835	1.0
11444x10017	1.0
11127x10199	1.0
11444x10382	1.0
11127x10564	1.0
11444x10746	1.0
11127x10928	1.0
11444x11110	1.0
11127x11293	1.0
11444x11475	1.0
11127x11657	1.0
11444x11839	1.0
11127x12022	1.0
11444x12204	1.0
11127x12386	1.0
11444x12568	1.0
11127x12751	1.0
11444x12933	1.0
11127x13115	1.0
11444x13297	1.0
11127x13479	1.0
11444x13662	1.0
11127x13844	1.0
11444x14026	1.0
11127x14208	1.0
11444x14390	1.0
11127x14573	1.0
11444x14755	1.0
11127x14937	1.0
11445x15119	1.0
11127x15302	1.0
11445x15484	1.0
11128x15666	1.0
11445x15848	1.0
11128x16031	1.0
11445x16213	1.0
11128x16395	1.0
11445x16577	1.0
11128x16759	1.0
11445x16942	0.0
11128x17124	1.0
11445x17306	0.0
11128x17488	1.0
11445x17671	0.0
11128x17853	1.0
11445x18035	1.0
11128x18217	1.0
11445x18399	1.0
11128x18582	1.0
11445x18764	1.0
11128x18946	1.0
11445x19128	1.0
11128x19311	1.0
11445x19493	1.0
11128x19675	1.0
11445x19857	1.0
11128x20040	1.0
11445x20222	1.0
11128x20404	1.0
11446x20586	1.0
11128x20768	1.0
11446x20951	1.0
11129x21133	1.0
11446x21315	1.0
11129x21497	1.0
11446x21679	1.0
11129x21862	1.0
11446x22044	1.0
11129x22226	1.0
11446x22408	1.0
11129x22591	1.0
11446x22773	1.0
11446x23137	0.0
11129x23320	0.0
11446x23502	0.0
11129x23684	0.0
11446x23866	0.0
11129x24048	0.0
11446x24231	0.0
11129x24413	0.0
11446x24595	0.0
11129x24777	0.0
11446x24960	0.0
11129x25142	0.0
11446x25324	0.0
11129x25506	0.0
11446x25688	0.0
11129x25871	0.0
11447x26053	0.0
11129x26235	0.0
11447x26417	0.0
11130x26600	0.0
11447x26782	0.0
11130x26964	0.0
11447x27146	0.0
11130x27328	0.0
11447x27511	0.0
11130x27693	0.0
11447x27875	0.0
12077x7101	1.0
11760x7284	1.0
12077x7466	1.0
11760x7648	1.0
12077x7830	1.0
11760x8013	1.0
12077x8195	1.0
11760x8377	1.0
12077x8559	1.0
11760x8741	1.0
12078x8924	1.0
11760x9106	1.0
12078x9288	1.0
11761x9470	1.0
12078x9653	1.0
11761x9835	1.0
12078x10017	1.0
11761x10199	1.0
12078x10381	1.0
11761x10564	1.0
12078x10746	1.0
11761x10928	1.0
12078x11110	1.0
11761x11293	1.0
12078x11475	1.0
11761x11657	1.0
12078x11839	1.0
11761x12022	1.0
12078x12204	1.0
11761x12386	1.0
12078x12568	1.0
11761x12750	1.0
12078x12933	1.0
11761x13115	1.0
12078x13297	1.0
11761x13479	1.0
12078x13661	0.0
11761x13844	1.0
12078x14026	0.0
11761x14208	1.0
12079x14390	0.0
11761x14573	1.0
12079x14755	0.0
11762x14937	0.0
12079x15119	0.0
11762x15302	0.0
12079x15484	0.0
11762x15666	0.0
12079x15848	0.0
11762x16030	0.0
