	region
2363x4035	0.0
2663x4213	0.0
2633x6299	0.0
2328x6468	0.0
2628x6646	0.0
2323x6816	0.0
2622x6994	0.0
2317x7163	0.0
2617x7342	0.0
2312x7511	0.0
2612x7689	0.0
2307x7859	0.0
2607x8037	0.0
2302x8206	0.0
2602x8385	0.0
2297x8554	0.0
2597x8732	0.0
2292x8902	0.0
2592x9080	0.0
2287x9249	0.0
2587x9428	0.0
2282x9597	0.0
2582x9775	0.0
2277x9945	0.0
2577x10123	0.0
2272x10292	0.0
2572x10471	0.0
2267x10640	0.0
2566x10818	0.0
2261x10988	0.0
2561x11166	0.0
2256x11335	0.0
2556x11514	0.0
2251x11683	0.0
2551x11861	0.0
2246x12031	0.0
2546x12209	0.0
2241x12378	0.0
2541x12556	0.0
2236x12726	0.0
2536x12904	0.0
2231x13074	0.0
2531x13252	0.0
2226x13421	0.0
2526x13599	0.0
2216x14116	0.0
2200x15159	0.0
2495x15685	0.0
2490x16033	0.0
2485x16381	0.0
2470x17424	0.0
2454x18466	0.0
2444x19162	0.0
2439x19509	0.0
2434x19857	0.0
2129x20026	0.0
2429x20205	0.0
2424x20552	0.0
2419x20900	0.0
2414x21248	0.0
2409x21595	0.0
2403x21943	0.0
2398x22291	0.0
2388x22986	0.0
2983x3001	0.0
3243x5960	0.0
2938x6129	0.0
3238x6308	0.0
2933x6477	0.0
3232x6655	0.0
2927x6825	0.0
3227x7003	0.0
2922x7172	0.0
3222x7351	0.0
2917x7520	0.0
3217x7698	0.0
2912x7868	0.0
3212x8046	0.0
2907x8215	0.0
3207x8394	0.0
2902x8563	0.0
3202x8741	0.0
2897x8911	0.0
3197x9089	0.0
2892x9258	0.0
3192x9436	0.0
2887x9606	0.0
3187x9784	0.0
2882x9954	0.0
3182x10132	0.0
2877x10301	0.0
3176x10479	0.0
2871x10649	0.0
3171x10827	0.0
2866x10996	0.0
3166x11175	0.0
2861x11344	0.0
3161x11522	0.0
2856x11692	0.0
3156x11870	0.0
2851x12039	0.0
3151x12218	0.0
2846x12387	0.0
3146x12565	0.0
2841x12735	0.0
3141x12913	0.0
2836x13082	0.0
3136x13261	0.0
2831x13430	0.0
3131x13608	0.0
3105x15347	0.0
3100x15694	0.0
2795x15864	0.0
3095x16042	0.0
2790x16211	0.0
3090x16389	0.0
3075x17432	0.0
