	region
12270x20309	1.0
12588x20491	1.0
12270x20674	1.0
12589x20856	0.0
12271x21039	1.0
12590x21221	0.0
12272x21404	1.0
12591x21586	0.0
12273x21769	1.0
12592x21951	1.0
12274x22134	1.0
12592x22316	1.0
12275x22500	1.0
12593x22681	1.0
12276x22865	1.0
12594x23046	1.0
12277x23230	1.0
12595x23412	1.0
12278x23595	1.0
12596x23777	1.0
12279x23960	1.0
12597x24142	1.0
12280x24325	1.0
12598x24507	1.0
12281x24690	1.0
12599x24872	0.0
12282x25055	1.0
12600x25237	0.0
12283x25421	0.0
12601x25602	0.0
12284x25786	0.0
12602x25967	0.0
12285x26151	0.0
12603x26333	0.0
12286x26516	0.0
12604x26698	0.0
12287x26881	0.0
12605x27063	0.0
12288x27246	0.0
12606x27428	0.0
12289x27611	0.0
12607x27793	0.0
12875x8988	0.0
13204x13187	1.0
13205x13552	1.0
12887x13735	1.0
13206x13917	1.0
12888x14100	1.0
13206x14282	1.0
12889x14465	1.0
13207x14647	1.0
12890x14830	1.0
13208x15012	1.0
12891x15196	1.0
13209x15377	1.0
12892x15561	1.0
13210x15742	1.0
12893x15926	1.0
13211x16107	1.0
12894x16291	1.0
13212x16473	1.0
12895x16656	1.0
13213x16838	1.0
12896x17021	1.0
13214x17203	1.0
12897x17386	1.0
13215x17568	1.0
12898x17751	1.0
13216x17933	1.0
12899x18116	1.0
13217x18298	1.0
12900x18482	1.0
13218x18663	1.0
12901x18847	1.0
13219x19028	1.0
12902x19212	1.0
13220x19394	1.0
12903x19577	1.0
13221x19759	1.0
12904x19942	1.0
13222x20124	0.0
12905x20307	0.0
13223x20489	0.0
12906x20672	0.0
13224x20854	0.0
12907x21037	0.0
13225x21219	0.0
12908x21403	0.0
13226x21584	0.0
12909x21768	1.0
13227x21949	1.0
12910x22133	1.0
13228x22315	1.0
12911x22498	1.0
13229x22680	1.0
12912x22863	1.0
13230x23045	1.0
12913x23228	1.0
13231x23410	1.0
12914x23593	1.0
13232x23775	0.0
12915x23958	1.0
13233x24140	0.0
12915x24324	0.0
13234x24505	0.0
12916x24689	0.0
13235x24870	0.0
12917x25054	0.0
13236x25235	0.0
12918x25419	0.0
13237x25601	0.0
12919x25784	0.0
13237x25966	0.0
12920x26149	0.0
13238x26331	0.0
12921x26514	0.0
13239x26696	0.0
12922x26879	0.0
13240x27061	0.0
12923x27244	0.0
13241x27426	0.0
12924x27610	0.0
13242x27791	0.0
13509x8622	0.0
13838x12820	1.0
13521x13003	1.0
13839x13185	1.0
13522x13368	1.0
13840x13550	1.0
13523x13733	1.0
13841x13915	1.0
13524x14098	1.0
13842x14280	1.0
13525x14464	1.0
13843x14645	1.0
13526x14829	1.0
13844x15010	1.0
13527x15194	1.0
13845x15376	1.0
13528x15559	1.0
13846x15741	1.0
13529x15924	1.0
13847x16106	1.0
13529x16289	1.0
13848x16471	1.0
13530x16654	1.0
13849x16836	1.0
13531x17019	1.0
13850x17201	1.0
13532x17385	1.0
13851x17566	1.0
13533x17750	1.0
13851x17931	1.0
13534x18115	1.0
13852x18297	1.0
13535x18480	1.0
13853x18662	1.0
13536x18845	1.0
13854x19027	0.0
13537x19210	1.0
13855x19392	0.0
13538x19575	1.0
13856x19757	0.0
13539x19940	0.0
13857x20122	0.0
13540x20306	0.0
13858x20487	0.0
13541x20671	0.0
13859x20852	0.0
13542x21036	0.0
13860x21217	0.0
13543x21401	0.0
13861x21583	1.0
13544x21766	1.0
13862x21948	1.0
13545x22131	1.0
13863x22313	1.0
13546x22496	1.0
13864x22678	0.0
13547x22861	1.0
13865x23043	0.0
13548x23226	0.0
13866x23408	0.0
13549x23592	0.0
13867x23773	0.0
13550x23957	0.0
13868x24138	0.0
13551x24322	0.0
13869x24504	0.0
13552x24687	0.0
13870x24869	0.0
13553x25052	0.0
13871x25234	0.0
13554x25417	0.0
13872x25599	0.0
13555x25782	0.0
13873x25964	0.0
13556x26147	0.0
13874x26329	0.0
13557x26513	0.0
13875x26694	0.0
13558x26878	0.0
13876x27059	0.0
13559x27243	0.0
13877x27424	0.0
13560x27608	0.0
13878x27790	0.0
14471x12088	1.0
14154x12271	1.0
14472x12453	1.0
14155x12636	1.0
14473x12818	1.0
14156x13001	1.0
14474x13183	1.0
14157x13367	1.0
14475x13548	1.0
14158x13732	1.0
14476x13913	1.0
14159x14097	1.0
14477x14279	1.0
14160x14462	1.0
14478x14644	1.0
14161x14827	1.0
14479x15009	1.0
14162x15192	1.0
14480x15374	1.0
14163x15557	1.0
14481x15739	1.0
14164x15922	1.0
14482x16104	1.0
14165x16288	1.0
14483x16469	1.0
14166x16653	1.0
14484x16834	1.0
14167x17018	1.0
14485x17199	1.0
14168x17383	1.0
14486x17565	1.0
14169x17748	1.0
14487x17930	0.0
14170x18113	1.0
14488x18295	0.0
14171x18478	0.0
14489x18660	0.0
14172x18843	0.0
14490x19025	0.0
14173x19208	0.0
14491x19390	0.0
14173x19574	0.0
14492x19755	0.0
14174x19939	0.0
14493x20120	0.0
14175x20304	0.0
14494x20486	0.0
14176x20669	0.0
14495x20851	0.0
14177x21034	0.0
14496x21216	1.0
14178x21399	1.0
14496x21581	1.0
14179x21764	1.0
14497x21946	1.0
14180x22129	1.0
14498x22311	0.0
14181x22495	0.0
14499x22676	0.0
14182x22860	0.0
14500x23041	0.0
14183x23225	0.0
14501x23406	0.0
14184x23590	0.0
14502x23772	0.0
14185x23955	0.0
14503x24137	0.0
14186x24320	0.0
14504x24502	0.0
14187x24685	0.0
14505x24867	0.0
14188x25050	0.0
14506x25232	0.0
14189x25415	0.0
14507x25597	0.0
14190x25781	0.0
14508x25962	0.0
14191x26146	0.0
14509x26327	0.0
14192x26511	0.0
14510x26693	0.0
14193x26876	0.0
14511x27058	0.0
14194x27241	0.0
14512x27423	0.0
14195x27606	0.0
14513x27788	0.0
14782x9349	0.0
15106x11721	1.0
14788x11904	1.0
15107x12086	1.0
14789x12270	1.0
15108x12451	1.0
14790x12635	1.0
15109x12816	1.0
14791x13000	1.0
15110x13181	1.0
14792x13365	1.0
15110x13547	1.0
